id,tag,donor,distSpatial,donors,distSpatials
cat-12231,hlr,cat-8266,131,"cat-8266,cat-8965","131,138"
cat-12249,hlr,cat-8266,156,"cat-8266,cat-8965","156,159"
cat-12272,hlr,cat-8965,153,"cat-8965,cat-8266","153,155"
cat-12283,hlr,cat-15234,369,"cat-15234,cat-15266","369,371"
cat-12307,hlr,cat-8266,160,"cat-8266,cat-8965","160,164"
cat-13590,hlr,cat-8965,203,"cat-8965,cat-8266","203,206"
cat-13633,hlr,cat-8266,192,"cat-8266,cat-8965","192,192"
cat-13643,hlr,cat-15234,661,"cat-15234,cat-15266","661,664"
cat-14194,hlr,cat-8965,206,"cat-8965,cat-8266","206,212"
cat-15245,hlr,cat-8965,181,"cat-8965,cat-8266","181,188"
cat-17672,hlr,cat-15234,267,"cat-15234,cat-15266","267,270"
cat-21099,hlr,cat-15234,167,"cat-15234,cat-15266","167,170"
cat-25043,hlr,cat-15234,338,"cat-15234,cat-15266","338,340"
cat-25507,hlr,cat-15234,266,"cat-15234,cat-15266","266,268"
cat-25663,hlr,cat-15234,239,"cat-15234,cat-15266","239,242"
cat-26334,hlr,cat-15234,146,"cat-15234,cat-15266","146,147"
cat-26335,hlr,cat-15234,148,"cat-15234,cat-15266","148,149"
cat-26343,hlr,cat-15234,165,"cat-15234,cat-15266","165,166"
cat-26363,hlr,cat-15234,140,"cat-15234,cat-15266","140,141"
cat-26370,hlr,cat-15234,137,"cat-15234,cat-15266","137,139"
cat-26378,hlr,cat-15234,136,"cat-15234,cat-15266","136,138"
