,reg_algorithm,reg_scenario,prcFlatLowland,prcFlatUpland,prcFlatTotal,relief,cidx,aridity,sand_frac,clay_frac,soil_depth,forest_frac,cropland_frac,urban_frac,slope,elev_mean,p_mean,pet_mean,snow_frac,high_prec_freq,low_prec_freq,high_prec_dur,low_prec_dur,gvf_max,gvf_diff,lai_max,lai_diff,geo_porosity,geo_permeability,soil_porosity,soil_conductivity
min,birch,camels,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,birch,camels,,,,,,0.03,0.02,0.01,0.0,0.05,,,0.02,28.19,27.677500000000002,19.99,0.01,0.67,1.67,0.01,0.05,0.0,0.02,0.18,0.16,0.0,0.03,0.0,0.15
50%,birch,camels,,,,,,0.06,0.05,0.02,0.09,0.12,,,0.03,60.44,64.82,43.25,0.02,1.46,3.87,0.02,0.11,0.03,0.05,0.39,0.42,0.04,0.47,0.01,0.36
75%,birch,camels,,,,,,0.12,0.1,0.03,0.29,0.23,,,0.06,111.725,115.65,77.92,0.03,2.21,7.92,0.03,0.19,0.08,0.11,0.77,0.85,0.11,1.1,0.02,0.78
max,birch,camels,,,,,,0.54,0.55,0.23,1.48,0.76,,,0.34,1081.02,467.47,457.37,0.13,6.55,37.83,0.11,0.79,0.99,0.97,5.05,4.3,0.26,7.68,0.4,27.31
count,birch,hlr,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14266.0,14266.0,14436.0,14632.0,14632.0,14632.0,,,,,,,,,,,,,,,,,
mean,birch,hlr,7.049890650628759,3.3029661016949152,6.208788955713505,85.06872061235649,0.10914639147074906,0.13697512301804265,0.12248212533295948,0.03393382868358335,0.16136118038237737,0.11985921268452708,0.05602788408966649,0.0649412247129579,,,,,,,,,,,,,,,,,
std,birch,hlr,7.609360702296775,5.361205988152784,6.9756166011365055,97.77263158826159,0.08684202740200699,0.11169900303057609,0.13239581224507155,0.040614827532711534,0.24836846946952768,0.10118811314016753,0.07851056096380214,0.08707495824308426,,,,,,,,,,,,,,,,,
min,birch,hlr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
25%,birch,hlr,2.0,0.0,2.0,26.6925,0.04,0.05,0.03,0.01,0.0,0.04,0.0,0.01,,,,,,,,,,,,,,,,,
50%,birch,hlr,5.0,1.0,4.0,56.83,0.09,0.1,0.08,0.02,0.04,0.09,0.02,0.03,,,,,,,,,,,,,,,,,
75%,birch,hlr,10.0,4.0,8.0,106.1525,0.16,0.21,0.16,0.05,0.23,0.17,0.08,0.08,,,,,,,,,,,,,,,,,
max,birch,hlr,88.0,74.0,90.0,1111.86,0.55,0.54,0.74,0.25,1.48,0.67,1.0,0.8,,,,,,,,,,,,,,,,,
